time,gFx,gFy,gFz,wx,wy,wz
2026-07-01T12:03:58.820Z,0.0002,-0.1355,-1.0026,0.0071,-0.0194,-0.0046
2026-07-01T12:03:58.830Z,0.0039,-0.1331,-0.9967,0.0141,-0.0165,0.0028
2026-07-01T12:03:58.840Z,0.0064,-0.1349,-0.9933,0.0178,-0.0070,0.0100
2026-07-01T12:03:58.850Z,0.0002,-0.1344,-0.9877,0.0057,0.0061,0.0081
2026-07-01T12:03:58.859Z,-0.0076,-0.1321,-0.9846,-0.0114,0.0145,0.0019
2026-07-01T12:03:58.874Z,-0.0087,-0.1329,-0.9850,-0.0239,0.0177,-0.0007
2026-07-01T12:03:58.879Z,-0.0034,-0.1307,-0.9870,-0.0239,0.0177,-0.0007
2026-07-01T12:03:58.889Z,0.0018,-0.1314,-0.9890,-0.0218,0.0187,-0.0006
2026-07-01T12:03:58.900Z,-0.0046,-0.1339,-0.9919,-0.0128,0.0061,-0.0052
2026-07-01T12:03:58.910Z,-0.0063,-0.1360,-0.9920,-0.0006,-0.0038,-0.0058
2026-07-01T12:03:58.921Z,0.0001,-0.1349,-0.9907,0.0038,-0.0141,-0.0004
2026-07-01T12:03:58.929Z,0.0015,-0.1318,-0.9977,0.0159,-0.0175,-0.0002
2026-07-01T12:03:58.940Z,-0.0009,-0.1312,-1.0039,0.0167,-0.0154,-0.0046
2026-07-01T12:03:58.950Z,-0.0022,-0.1275,-1.0000,0.0042,-0.0017,-0.0087
2026-07-01T12:03:58.960Z,-0.0040,-0.1294,-0.9987,-0.0086,0.0176,-0.0089
2026-07-01T12:03:58.972Z,-0.0031,-0.1327,-0.9958,-0.0231,0.0179,-0.0068
2026-07-01T12:03:58.980Z,-0.0007,-0.1321,-0.9914,-0.0210,0.0156,-0.0047
2026-07-01T12:03:58.990Z,-0.0032,-0.1317,-0.9913,-0.0055,0.0274,-0.0037
2026-07-01T12:03:59.000Z,-0.0064,-0.1332,-0.9924,0.0144,0.0275,-0.0099
2026-07-01T12:03:59.010Z,-0.0018,-0.1342,-0.9900,0.0292,0.0164,-0.0095
2026-07-01T12:03:59.020Z,0.0062,-0.1336,-0.9818,0.0240,0.0118,-0.0076
2026-07-01T12:03:59.030Z,0.0045,-0.1369,-0.9755,0.0056,0.0023,-0.0029
2026-07-01T12:03:59.039Z,0.0022,-0.1393,-0.9779,-0.0158,-0.0111,-0.0067
2026-07-01T12:03:59.050Z,-0.0024,-0.1378,-0.9886,-0.0230,-0.0129,-0.0098
2026-07-01T12:03:59.060Z,-0.0063,-0.1344,-1.0000,-0.0172,-0.0033,-0.0150
2026-07-01T12:03:59.070Z,-0.0018,-0.1339,-1.0135,-0.0007,0.0090,-0.0153
2026-07-01T12:03:59.080Z,0.0035,-0.1366,-1.0173,0.0161,0.0043,-0.0074
2026-07-01T12:03:59.090Z,0.0037,-0.1359,-1.0091,0.0281,-0.0070,-0.0054
2026-07-01T12:03:59.100Z,-0.0002,-0.1334,-1.0027,0.0332,-0.0086,-0.0018
2026-07-01T12:03:59.110Z,-0.0054,-0.1362,-0.9944,0.0295,0.0001,0.0013
2026-07-01T12:03:59.119Z,-0.0076,-0.1379,-0.9804,0.0100,-0.0016,0.0027
2026-07-01T12:03:59.130Z,-0.0040,-0.1341,-0.9722,-0.0106,-0.0007,0.0057
2026-07-01T12:03:59.140Z,-0.0036,-0.1334,-0.9745,-0.0298,-0.0004,0.0041
